borough,approvals,completions,starts,approved_not_completed,completion_rate_pct
Greenwich,24694.0,6625.0,11331.0,18069.0,26.8
Ealing,22558.0,7963.0,12289.0,14595.0,35.3
Newham,19485.0,10460.0,12294.0,9025.0,53.7
Brent,19278.0,10613.0,11003.0,8665.0,55.1
Wandsworth,17159.0,9541.0,13357.0,7618.0,55.6
Tower Hamlets,21400.0,13890.0,11704.0,7510.0,64.9
Enfield,10946.0,3477.0,5054.0,7469.0,31.8
Hounslow,13860.0,6558.0,4427.0,7302.0,47.3
Barnet,17580.0,10727.0,19143.0,6853.0,61.0
Hillingdon,10260.0,4923.0,5122.0,5337.0,48.0
Lewisham,7768.0,2818.0,8145.0,4950.0,36.3
Southwark,13395.0,8551.0,7686.0,4844.0,63.8
Barking and Dagenham,10565.0,5780.0,5167.0,4785.0,54.7
Redbridge,6753.0,2318.0,5102.0,4435.0,34.3
Lambeth,7601.0,3527.0,7133.0,4074.0,46.4
Haringey,9259.0,5586.0,4237.0,3673.0,60.3
Kingston,5783.0,2349.0,3883.0,3434.0,40.6
Havering,7300.0,4067.0,3236.0,3233.0,55.7
Waltham Forest,8652.0,5585.0,5045.0,3067.0,64.6
Merton,5303.0,2600.0,3329.0,2703.0,49.0
OPDC,5321.0,2845.0,2257.0,2476.0,53.5
Bromley,4670.0,2311.0,2582.0,2359.0,49.5
LLDC,7945.0,6774.0,8105.0,1171.0,85.3
Hammersmith and Fulham,6968.0,5917.0,6414.0,1051.0,84.9
Harrow,5089.0,4184.0,5843.0,905.0,82.2
Westminster,4225.0,3327.0,3345.0,898.0,78.7
Bexley,3646.0,2765.0,1910.0,881.0,75.8
Sutton,3037.0,2220.0,1146.0,817.0,73.1
Richmond,1792.0,1057.0,1123.0,735.0,59.0
City of London,646.0,645.0,26.0,1.0,99.8
Kensington and Chelsea,1316.0,1946.0,1088.0,-630.0,147.9
Camden,2299.0,3096.0,1216.0,-797.0,134.7
Islington,2506.0,3338.0,2079.0,-832.0,133.2
Croydon,9024.0,11233.0,9280.0,-2209.0,124.5
Hackney,2120.0,4553.0,2998.0,-2433.0,214.8
