area_code,borough,earmarked_reserves,unallocated_reserves,spendable_reserves
E09000002,Barking and Dagenham,114678000.0,14869000.0,129547000.0
E09000003,Barnet,47436410.0,15081130.0,62517540.0
E09000004,Bexley,42137000.0,14360000.0,56497000.0
E09000005,Brent,121209000.0,20034000.0,141243000.0
E09000006,Bromley,173667000.0,35943000.0,209610000.0
E09000007,Camden,141500000.0,18358000.0,159858000.0
E09000001,City of London,347072000.0,20000000.0,367072000.0
E09000008,Croydon,106094000.0,27500000.0,133594000.0
E09000009,Ealing,107100000.0,20471000.0,127571000.0
E09000010,Enfield,60226000.0,15927000.0,76153000.0
E09000011,Greenwich,170719000.0,18723000.0,189442000.0
E09000012,Hackney,84970000.0,19000000.0,103970000.0
E09000013,Hammersmith and Fulham,175433000.0,22066000.0,197499000.0
E09000014,Haringey,37074000.0,15170000.0,52244000.0
E09000015,Harrow,68071000.0,10008000.0,78079000.0
E09000016,Havering,37900000.0,15113000.0,53013000.0
E09000017,Hillingdon,9105020.0,-4663000.0,4442020.0
E09000018,Hounslow,110643000.0,18000000.0,128643000.0
E09000019,Islington,103589000.0,36657000.0,140246000.0
E09000020,Kensington and Chelsea,77260000.0,10000000.0,87260000.0
E09000021,Kingston Upon Thames,36937000.0,19633000.0,56570000.0
E09000022,Lambeth,92007000.0,30000000.0,122007000.0
E09000023,Lewisham,200766000.0,30000000.0,230766000.0
E09000024,Merton,120689000.0,14000000.0,134689000.0
E09000025,Newham,117534000.0,13946000.0,131480000.0
E09000026,Redbridge,42388000.0,7386000.0,49774000.0
E09000027,Richmond upon Thames,101794000.0,11068000.0,112862000.0
E09000028,Southwark,223753740.0,22443000.0,246196740.0
E09000029,Sutton,28024000.0,9581000.0,37605000.0
E09000030,Tower Hamlets,125909000.0,21234000.0,147143000.0
E09000031,Waltham Forest,58833000.0,14906000.0,73739000.0
E09000032,Wandsworth,361731000.0,15021000.0,376752000.0
E09000033,Westminster,279526000.0,59671000.0,339197000.0
