year,area_code,borough,nightly_paid,leased,hostels,bed_and_breakfast,la_ha_stock,other_ta,ta_admin,prevention,total_homelessness,ta_total
2021-22,E09000002,Barking and Dagenham,0.0,3224000.0,-2346000.0,0.0,-590000.0,0.0,2413000.0,309000.0,4564000.0,288000.0
2021-22,E09000003,Barnet,1930000.0,0.0,0.0,0.0,0.0,2334000.0,0.0,4861000.0,9180000.0,4264000.0
2021-22,E09000004,Bexley,8765000.0,2092000.0,192000.0,0.0,-790000.0,-16000.0,606000.0,267000.0,11116000.0,10243000.0
2021-22,E09000005,Brent,1183000.0,977000.0,0.0,8002000.0,2926000.0,377000.0,6235000.0,0.0,22640000.0,13465000.0
2021-22,E09000006,Bromley,7520000.0,2057000.0,0.0,0.0,-82000.0,0.0,0.0,768000.0,15915000.0,9495000.0
2021-22,E09000007,Camden,5584000.0,469000.0,3557000.0,643000.0,0.0,0.0,0.0,0.0,16624000.0,10253000.0
2021-22,E09000001,City of London,0.0,0.0,0.0,204000.0,0.0,0.0,0.0,4160000.0,4364000.0,204000.0
2021-22,E09000008,Croydon,0.0,4802000.0,-132000.0,4846000.0,-124000.0,0.0,0.0,5839000.0,15232000.0,9392000.0
2021-22,E09000009,Ealing,0.0,9452000.0,-145000.0,275000.0,-99000.0,0.0,0.0,9664000.0,19147000.0,9483000.0
2021-22,E09000010,Enfield,9241000.0,903000.0,321000.0,0.0,0.0,0.0,1359000.0,1746000.0,13570000.0,10465000.0
2021-22,E09000011,Greenwich,6620000.0,627000.0,0.0,0.0,-3771000.0,0.0,1189000.0,2760000.0,7916000.0,3476000.0
2021-22,E09000012,Hackney,8624000.0,2422000.0,2851000.0,795000.0,0.0,0.0,0.0,11042000.0,25734000.0,14692000.0
2021-22,E09000013,Hammersmith and Fulham,0.0,6642000.0,0.0,1461000.0,0.0,0.0,462000.0,3440000.0,13513000.0,8103000.0
2021-22,E09000014,Haringey,0.0,7510000.0,214000.0,0.0,0.0,524000.0,0.0,0.0,20030000.0,8248000.0
2021-22,E09000015,Harrow,0.0,2742000.0,47000.0,1505000.0,-2040000.0,0.0,3067000.0,0.0,5320000.0,2254000.0
2021-22,E09000016,Havering,0.0,3939000.0,0.0,3000.0,0.0,0.0,562000.0,3387000.0,7893000.0,3942000.0
2021-22,E09000017,Hillingdon,0.0,0.0,0.0,1550000.0,0.0,308000.0,3486000.0,4020000.0,9364000.0,1858000.0
2021-22,E09000018,Hounslow,565000.0,2468000.0,0.0,633000.0,0.0,-121000.0,3174000.0,1381000.0,10792000.0,3545000.0
2021-22,E09000019,Islington,2451000.0,208000.0,0.0,0.0,0.0,0.0,0.0,1724000.0,5541000.0,2659000.0
2021-22,E09000020,Kensington and Chelsea,0.0,5562000.0,0.0,-183000.0,117000.0,3401000.0,2822000.0,6574000.0,19591000.0,8897000.0
2021-22,E09000021,Kingston upon Thames,0.0,3991000.0,0.0,3129000.0,0.0,0.0,661000.0,0.0,7781000.0,7120000.0
2021-22,E09000022,Lambeth,0.0,0.0,0.0,23047000.0,0.0,0.0,0.0,4967000.0,28014000.0,23047000.0
2021-22,E09000023,Lewisham,2479000.0,3359000.0,-408000.0,5671000.0,-2067000.0,0.0,0.0,3340000.0,12374000.0,9034000.0
2021-22,E09000024,Merton,1679000.0,329000.0,60000.0,2000.0,0.0,0.0,594000.0,0.0,2665000.0,2070000.0
2021-22,E09000025,Newham,8274000.0,699000.0,1807000.0,2904000.0,199000.0,4423000.0,7109000.0,266000.0,25681000.0,18306000.0
2021-22,E09000026,Redbridge,2139000.0,5585000.0,-305000.0,4709000.0,-347000.0,11000.0,6249000.0,3125000.0,21164000.0,11792000.0
2021-22,E09000027,Richmond upon Thames,712000.0,692000.0,113000.0,369000.0,0.0,326000.0,1074000.0,1710000.0,6713000.0,2212000.0
2021-22,E09000028,Southwark,0.0,1438000.0,0.0,7459000.0,0.0,8571000.0,9300000.0,0.0,26768000.0,17468000.0
2021-22,E09000029,Sutton,0.0,249000.0,0.0,1082000.0,0.0,0.0,0.0,1600000.0,3400000.0,1331000.0
2021-22,E09000030,Tower Hamlets,1673000.0,1833000.0,0.0,-1217000.0,-6996000.0,0.0,2572000.0,4385000.0,2609000.0,-4707000.0
2021-22,E09000031,Waltham Forest,3609000.0,3359000.0,0.0,1237000.0,0.0,488000.0,1112000.0,4645000.0,14730000.0,8693000.0
2021-22,E09000032,Wandsworth,5526000.0,3785000.0,59000.0,1034000.0,0.0,68000.0,0.0,2853000.0,15354000.0,10472000.0
2021-22,E09000033,Westminster,-1209000.0,6414000.0,0.0,309000.0,-4378000.0,0.0,0.0,0.0,8963000.0,1136000.0
2022-23,E09000002,Barking and Dagenham,0.0,3691000.0,-1345000.0,0.0,-853000.0,0.0,2604000.0,3134000.0,7733000.0,1493000.0
2022-23,E09000003,Barnet,1482000.0,0.0,0.0,0.0,0.0,3371000.0,0.0,4501000.0,9599000.0,4853000.0
2022-23,E09000004,Bexley,5356000.0,3622000.0,321000.0,0.0,-423000.0,0.0,901000.0,0.0,10985000.0,8876000.0
2022-23,E09000005,Brent,-1138000.0,4248000.0,0.0,3016000.0,-2497000.0,0.0,0.0,19912000.0,23541000.0,3629000.0
2022-23,E09000006,Bromley,7934000.0,1921000.0,0.0,0.0,4000.0,0.0,0.0,633000.0,15691000.0,9859000.0
2022-23,E09000007,Camden,5523000.0,0.0,2325000.0,3345000.0,0.0,0.0,0.0,0.0,16650000.0,11193000.0
2022-23,E09000001,City of London,0.0,0.0,0.0,377000.0,0.0,0.0,0.0,4102000.0,4479000.0,377000.0
2022-23,E09000008,Croydon,4394000.0,3069000.0,-256000.0,1223000.0,74000.0,3557000.0,1336000.0,4771000.0,18731000.0,12061000.0
2022-23,E09000009,Ealing,0.0,9944000.0,430000.0,1576000.0,204000.0,0.0,0.0,9644000.0,21798000.0,12154000.0
2022-23,E09000010,Enfield,0.0,814000.0,0.0,4790000.0,3046000.0,0.0,718000.0,6137000.0,16683000.0,8650000.0
2022-23,E09000011,Greenwich,9382000.0,481000.0,0.0,0.0,-4735000.0,0.0,1347000.0,2271000.0,9473000.0,5128000.0
2022-23,E09000012,Hackney,7164000.0,2088000.0,3531000.0,326000.0,0.0,1210000.0,0.0,9529000.0,23848000.0,14319000.0
2022-23,E09000013,Hammersmith and Fulham,0.0,5681000.0,0.0,526000.0,0.0,0.0,556000.0,4084000.0,12435000.0,6207000.0
2022-23,E09000014,Haringey,0.0,5225000.0,-569000.0,0.0,0.0,600000.0,446000.0,252000.0,18296000.0,5256000.0
2022-23,E09000015,Harrow,2075000.0,1948000.0,39000.0,889000.0,-4188000.0,0.0,1456000.0,2696000.0,4914000.0,763000.0
2022-23,E09000016,Havering,2176000.0,2967000.0,677000.0,975000.0,0.0,0.0,647000.0,2997000.0,10439000.0,6795000.0
2022-23,E09000017,Hillingdon,0.0,0.0,0.0,2712000.0,0.0,254000.0,4975000.0,3167000.0,11108000.0,2966000.0
2022-23,E09000018,Hounslow,679000.0,3715000.0,0.0,4307000.0,0.0,36000.0,0.0,-315000.0,11625000.0,8737000.0
2022-23,E09000019,Islington,2576000.0,84000.0,0.0,0.0,0.0,0.0,670000.0,2214000.0,5855000.0,2660000.0
2022-23,E09000020,Kensington and Chelsea,0.0,8187000.0,0.0,300000.0,211000.0,3540000.0,2995000.0,7181000.0,23962000.0,12238000.0
2022-23,E09000021,Kingston upon Thames,0.0,3215000.0,0.0,3666000.0,0.0,0.0,450000.0,0.0,7331000.0,6881000.0
2022-23,E09000022,Lambeth,0.0,113000.0,0.0,33172000.0,0.0,0.0,0.0,4104000.0,37389000.0,33285000.0
2022-23,E09000023,Lewisham,2577000.0,7110000.0,-356000.0,10145000.0,-649000.0,0.0,0.0,3278000.0,22105000.0,18827000.0
2022-23,E09000024,Merton,0.0,0.0,0.0,3203000.0,0.0,0.0,0.0,427000.0,3630000.0,3203000.0
2022-23,E09000025,Newham,11378000.0,662000.0,0.0,942000.0,3394000.0,35000.0,3737000.0,4163000.0,24339000.0,16411000.0
2022-23,E09000026,Redbridge,2285000.0,5714000.0,-721000.0,3799000.0,-318000.0,0.0,1510000.0,7043000.0,21965000.0,10759000.0
2022-23,E09000027,Richmond upon Thames,2130000.0,736000.0,230000.0,517000.0,0.0,316000.0,1113000.0,1665000.0,8308000.0,3929000.0
2022-23,E09000028,Southwark,0.0,1930000.0,0.0,4776000.0,0.0,8036000.0,8554000.0,9000.0,23305000.0,14742000.0
2022-23,E09000029,Sutton,0.0,465000.0,0.0,3435000.0,0.0,0.0,0.0,0.0,3900000.0,3900000.0
2022-23,E09000030,Tower Hamlets,2765000.0,4587000.0,0.0,-150000.0,-5759000.0,4194000.0,3091000.0,6777000.0,15961000.0,5637000.0
2022-23,E09000031,Waltham Forest,3289000.0,1067000.0,0.0,1273000.0,0.0,826000.0,1202000.0,5019000.0,12990000.0,6455000.0
